month,day,hour,usage
4,30,2,0.6137500000000001
4,30,3,0.5512333333333334
4,30,4,0.4029
4,30,5,0.32575000000000015
4,30,6,0.35651666666666676
4,30,7,0.49853333333333333
4,30,8,0.4448666666666666
4,30,9,0.34624999999999984
4,30,10,0.5567666666666665
4,30,11,0.5657166666666666
4,30,12,0.7399166666666667
4,30,13,0.6845000000000001
4,30,14,0.7258666666666665
4,30,15,0.5293500000000002
4,30,16,0.5124333333333333
4,30,17,0.5107833333333333
4,30,18,0.7671666666666663
4,30,19,0.7076166666666664
4,30,20,1.3920166666666662
4,30,21,0.5885333333333332
4,30,22,0.6619833333333335
4,30,23,1.183716666666666
5,1,0,1.2556499999999995
5,1,1,0.3319500000000001
5,1,2,0.23606666666666662
5,1,3,0.2378833333333333
5,1,4,3.253983333333332
5,1,5,1.1485166666666662
5,1,6,0.23884999999999995
5,1,7,0.3957833333333333
5,1,8,0.3869833333333332
5,1,9,0.38290000000000013
5,1,10,0.45226666666666665
5,1,11,0.22146666666666662
5,1,12,0.38796666666666685
5,1,13,0.5546833333333333
5,1,14,1.326866666666667
5,1,15,2.3969
5,1,16,1.2552166666666664
5,1,17,0.7264666666666665
5,1,18,0.7920999999999999
5,1,19,0.7369166666666668
5,1,20,1.1643333333333332
5,1,21,1.0512413793103448
5,1,22,0.8869166666666667
5,1,23,2.013133333333333
5,2,0,1.46115
5,2,1,0.7043833333333331
5,2,2,0.5228833333333334
5,2,3,0.5935333333333336
5,2,4,0.36440000000000006
5,2,5,0.5705833333333334
5,2,6,0.6707
5,2,7,0.5100999999999999
5,2,8,0.49355
5,2,9,0.3686166666666664
5,2,10,0.4099833333333333
5,2,11,0.3554333333333333
5,2,12,0.7383833333333333
5,2,13,1.2869666666666668
5,2,14,1.1990166666666662
5,2,15,0.969533333333333
5,2,16,1.3354500000000002
5,2,17,1.10695
5,2,18,1.4158333333333337
5,2,19,1.5334999999999999
5,2,20,1.699866666666667
5,2,21,1.4695500000000004
5,2,22,1.2855
5,2,23,0.8267166666666668
5,3,0,0.6910333333333336
5,3,1,0.2856166666666665
5,3,2,0.3219166666666665
5,3,3,0.23708333333333337
5,3,4,0.22654999999999992
5,3,5,0.24163333333333323
5,3,6,0.25103333333333333
5,3,7,0.2263833333333333
5,3,8,0.21664999999999995
5,3,9,0.23243333333333327
5,3,10,0.5063833333333333
5,3,11,1.0997000000000006
5,3,12,1.37025
5,3,13,1.4361500000000003
5,3,14,2.4203166666666664
5,3,15,2.3643666666666676
5,3,16,1.6538833333333336
5,3,17,2.0432499999999996
5,3,18,3.539099999999999
5,3,19,2.069466666666666
5,3,20,2.146083333333334
5,3,21,2.1693000000000002
5,3,22,4.492999999999999
5,3,23,2.0164333333333326
5,4,0,0.9888166666666666
5,4,1,1.14345
5,4,2,1.126433333333334
5,4,3,0.4761166666666669
5,4,4,0.3239166666666666
5,4,5,0.8814499999999997
5,4,6,0.3272500000000001
5,4,7,0.3391333333333334
5,4,8,0.5189000000000001
5,4,9,0.4894166666666667
5,4,10,0.7039333333333333
5,4,11,1.338166666666667
5,4,12,1.6781666666666664
5,4,13,1.4207666666666665
5,4,14,1.8573666666666682
5,4,15,1.5180000000000007
5,4,16,1.805883333333334
5,4,17,1.8726666666666667
5,4,18,1.8190833333333336
5,4,19,1.9793
5,4,20,2.0205333333333337
5,4,21,2.089733333333333
5,4,22,1.245166666666666
5,4,23,0.7255999999999998
5,5,0,0.8804833333333336
5,5,1,0.8508999999999999
